Date,High
5-Oct-24,"62,197.58"
3-Oct-24,"61,469.04"
2-Oct-24,"62,357.69"
1-Oct-24,"64,110.98"
30-Sep-24,"65,635.05"
29-Sep-24,"66,069.34"
28-Sep-24,"66,255.53"
27-Sep-24,"66,480.70"
26-Sep-24,"65,790.80"
25-Sep-24,"64,804.50"
24-Sep-24,"64,695.21"
23-Sep-24,"64,733.56"
22-Sep-24,"63,993.42"
21-Sep-24,"63,543.36"
20-Sep-24,"64,119.53"
19-Sep-24,"63,872.44"
18-Sep-24,"61,664.07"
17-Sep-24,"61,316.09"
16-Sep-24,"59,205.51"
15-Sep-24,"60,381.92"
14-Sep-24,"60,656.72"
13-Sep-24,"60,648.02"
12-Sep-24,"58,534.36"
11-Sep-24,"57,991.32"
10-Sep-24,"58,029.98"
9-Sep-24,"58,041.13"
8-Sep-24,"55,300.86"
7-Sep-24,"54,838.14"
6-Sep-24,"56,976.11"
5-Sep-24,"58,300.58"
4-Sep-24,"58,511.57"
3-Sep-24,"59,815.06"
2-Sep-24,"59,403.07"
1-Sep-24,"59,062.07"
31-Aug-24,"59,432.59"
30-Aug-24,"59,896.89"
29-Aug-24,"61,184.08"
28-Aug-24,"60,236.45"
27-Aug-24,"63,210.80"
26-Aug-24,"64,489.71"
25-Aug-24,"64,996.42"
24-Aug-24,"64,513.79"
23-Aug-24,"64,947.06"
22-Aug-24,"61,408.11"
21-Aug-24,"61,834.35"
20-Aug-24,"61,396.33"
19-Aug-24,"59,612.66"
18-Aug-24,"60,262.72"
17-Aug-24,"59,694.67"
16-Aug-24,"59,847.36"
15-Aug-24,"59,838.65"
14-Aug-24,"61,687.76"
13-Aug-24,"61,572.40"
12-Aug-24,"60,680.33"
11-Aug-24,"61,778.66"
10-Aug-24,"61,464.51"
9-Aug-24,"61,751.86"
8-Aug-24,"62,673.77"
7-Aug-24,"57,726.88"
6-Aug-24,"57,059.92"
5-Aug-24,"58,268.83"
4-Aug-24,"61,062.99"
3-Aug-24,"62,148.37"
2-Aug-24,"65,523.22"
1-Aug-24,"65,593.24"
31-Jul-24,"66,810.21"
30-Jul-24,"66,987.67"
29-Jul-24,"69,987.54"
28-Jul-24,"68,301.85"
27-Jul-24,"69,398.51"
26-Jul-24,"68,207.60"
25-Jul-24,"66,112.42"
24-Jul-24,"67,113.98"
23-Jul-24,"67,779.02"
22-Jul-24,"68,480.06"
21-Jul-24,"68,372.91"
20-Jul-24,"67,610.73"
19-Jul-24,"67,442.64"
18-Jul-24,"65,104.66"
17-Jul-24,"66,066.73"
16-Jul-24,"65,354.34"
15-Jul-24,"64,870.15"
14-Jul-24,"61,329.53"
13-Jul-24,"59,787.08"
12-Jul-24,"58,532.55"
11-Jul-24,"59,299.43"
10-Jul-24,"59,359.43"
9-Jul-24,"58,239.20"
8-Jul-24,"58,131.34"
7-Jul-24,"58,371.12"
6-Jul-24,"58,472.55"
5-Jul-24,"57,497.15"
4-Jul-24,"60,399.68"
3-Jul-24,"62,187.70"
2-Jul-24,"63,203.36"
1-Jul-24,"63,777.23"
30-Jun-24,"62,892.83"
29-Jun-24,"61,097.62"
28-Jun-24,"62,126.10"
