Date,High
5-Oct-24,"2,424.42"
3-Oct-24,"2,402.86"
2-Oct-24,"2,498.12"
1-Oct-24,"2,657.62"
30-Sep-24,"2,662.49"
29-Sep-24,"2,683.45"
28-Sep-24,"2,704.93"
27-Sep-24,"2,728.07"
26-Sep-24,"2,665.99"
25-Sep-24,"2,672.46"
24-Sep-24,"2,671.28"
23-Sep-24,"2,701.68"
22-Sep-24,"2,632.04"
21-Sep-24,"2,621.62"
20-Sep-24,"2,571.99"
19-Sep-24,"2,492.20"
18-Sep-24,"2,369.73"
17-Sep-24,"2,392.15"
16-Sep-24,"2,334.79"
15-Sep-24,"2,430.38"
14-Sep-24,"2,442.63"
13-Sep-24,"2,462.80"
12-Sep-24,"2,390.19"
11-Sep-24,"2,389.72"
10-Sep-24,"2,398.50"
9-Sep-24,"2,379.79"
8-Sep-24,"2,332.36"
7-Sep-24,"2,310.19"
6-Sep-24,"2,406.51"
5-Sep-24,"2,465.39"
4-Sep-24,"2,488.92"
3-Sep-24,"2,552.80"
2-Sep-24,"2,563.09"
1-Sep-24,"2,515.47"
31-Aug-24,"2,532.39"
30-Aug-24,"2,539.92"
29-Aug-24,"2,595.98"
28-Aug-24,"2,553.82"
27-Aug-24,"2,700.15"
26-Aug-24,"2,763.00"
25-Aug-24,"2,793.01"
24-Aug-24,"2,820.02"
23-Aug-24,"2,799.33"
22-Aug-24,"2,644.82"
21-Aug-24,"2,662.95"
20-Aug-24,"2,695.91"
19-Aug-24,"2,648.28"
18-Aug-24,"2,684.03"
17-Aug-24,"2,626.67"
16-Aug-24,"2,629.38"
15-Aug-24,"2,675.31"
14-Aug-24,"2,775.28"
13-Aug-24,"2,737.99"
12-Aug-24,"2,749.14"
11-Aug-24,"2,718.80"
10-Aug-24,"2,642.93"
9-Aug-24,"2,706.45"
8-Aug-24,"2,721.95"
7-Aug-24,"2,551.56"
6-Aug-24,"2,553.58"
5-Aug-24,"2,695.89"
4-Aug-24,"2,931.47"
3-Aug-24,"3,015.30"
2-Aug-24,"3,214.53"
1-Aug-24,"3,241.78"
31-Jul-24,"3,347.64"
30-Jul-24,"3,365.32"
29-Jul-24,"3,396.63"
28-Jul-24,"3,283.15"
27-Jul-24,"3,327.43"
26-Jul-24,"3,285.76"
25-Jul-24,"3,341.44"
24-Jul-24,"3,487.65"
23-Jul-24,"3,539.53"
22-Jul-24,"3,560.08"
21-Jul-24,"3,546.62"
20-Jul-24,"3,539.90"
19-Jul-24,"3,540.59"
18-Jul-24,"3,488.72"
17-Jul-24,"3,516.10"
16-Jul-24,"3,498.22"
15-Jul-24,"3,494.10"
14-Jul-24,"3,266.49"
13-Jul-24,"3,199.99"
12-Jul-24,"3,154.60"
11-Jul-24,"3,208.94"
10-Jul-24,"3,148.41"
9-Jul-24,"3,105.80"
8-Jul-24,"3,090.66"
7-Jul-24,"3,072.81"
6-Jul-24,"3,080.11"
5-Jul-24,"3,106.15"
4-Jul-24,"3,309.20"
3-Jul-24,"3,426.33"
2-Jul-24,"3,459.76"
1-Jul-24,"3,513.31"
30-Jun-24,"3,453.21"
29-Jun-24,"3,401.73"
28-Jun-24,"3,482.96"
27-Jun-24,"3,470.92"
26-Jun-24,"3,421.51"
25-Jun-24,"3,422.21"
24-Jun-24,"3,430.70"
23-Jun-24,"3,519.32"
22-Jun-24,"3,519.50"
21-Jun-24,"3,542.96"
20-Jun-24,"3,623.89"
19-Jun-24,"3,583.32"
18-Jun-24,"3,514.18"
17-Jun-24,"3,634.29"
16-Jun-24,"3,648.09"
15-Jun-24,"3,589.89"
14-Jun-24,"3,528.60"
13-Jun-24,"3,559.73"
12-Jun-24,"3,652.49"
11-Jun-24,"3,669.89"
10-Jun-24,"3,711.43"
9-Jun-24,"3,719.37"
8-Jun-24,"3,707.50"
7-Jun-24,"3,838.45"
6-Jun-24,"3,878.05"
5-Jun-24,"3,887.49"
4-Jun-24,"3,831.36"
3-Jun-24,"3,848.60"
2-Jun-24,"3,834.91"
1-Jun-24,"3,829.29"
31-May-24,"3,843.86"
30-May-24,"3,823.64"
29-May-24,"3,880.65"
28-May-24,"3,924.90"
27-May-24,"3,973.56"
26-May-24,"3,879.47"
25-May-24,"3,776.01"
24-May-24,"3,825.12"
23-May-24,"3,943.55"
22-May-24,"3,810.95"
21-May-24,"3,837.37"
20-May-24,"3,690.81"
19-May-24,"3,137.15"
18-May-24,"3,146.79"
17-May-24,"3,120.30"
16-May-24,"3,041.81"
15-May-24,"3,041.60"
14-May-24,"2,959.55"
13-May-24,"2,994.87"
12-May-24,"2,953.05"
11-May-24,"2,942.18"
10-May-24,"3,052.73"
9-May-24,"3,057.96"
8-May-24,"3,037.20"
7-May-24,"3,129.08"
6-May-24,"3,220.15"
5-May-24,"3,170.06"
4-May-24,"3,167.54"
3-May-24,"3,127.16"
2-May-24,"3,015.05"
1-May-24,"3,020.17"
30-Apr-24,"3,249.38"
29-Apr-24,"3,285.47"
28-Apr-24,"3,351.18"
27-Apr-24,"3,279.45"
26-Apr-24,"3,166.19"
25-Apr-24,"3,190.98"
24-Apr-24,"3,292.92"
23-Apr-24,"3,264.42"
22-Apr-24,"3,236.66"
21-Apr-24,"3,197.51"
20-Apr-24,"3,170.67"
19-Apr-24,"3,127.11"
18-Apr-24,"3,094.84"
17-Apr-24,"3,123.67"
16-Apr-24,"3,127.16"
15-Apr-24,"3,277.56"
14-Apr-24,"3,174.67"
13-Apr-24,"3,299.66"
12-Apr-24,"3,552.59"
11-Apr-24,"3,616.19"
10-Apr-24,"3,561.52"
9-Apr-24,"3,724.92"
8-Apr-24,"3,727.62"
7-Apr-24,"3,458.51"
6-Apr-24,"3,397.59"
5-Apr-24,"3,345.67"
4-Apr-24,"3,443.21"
3-Apr-24,"3,368.11"
2-Apr-24,"3,506.96"
1-Apr-24,"3,648.13"
31-Mar-24,"3,655.22"
30-Mar-24,"3,566.08"
29-Mar-24,"3,583.70"
28-Mar-24,"3,609.71"
27-Mar-24,"3,664.38"
26-Mar-24,"3,678.79"
25-Mar-24,"3,657.12"
24-Mar-24,"3,470.34"
23-Mar-24,"3,433.76"
22-Mar-24,"3,541.90"
21-Mar-24,"3,586.91"
20-Mar-24,"3,534.83"
19-Mar-24,"3,546.58"
18-Mar-24,"3,642.50"
17-Mar-24,"3,676.26"
16-Mar-24,"3,780.89"
15-Mar-24,"3,928.78"
14-Mar-24,"4,011.10"
13-Mar-24,"4,083.01"
12-Mar-24,"4,092.28"
11-Mar-24,"4,087.05"
10-Mar-24,"3,968.72"
9-Mar-24,"3,950.40"
8-Mar-24,"3,998.83"
7-Mar-24,"3,939.59"
6-Mar-24,"3,901.43"
5-Mar-24,"3,828.16"
4-Mar-24,"3,641.46"
3-Mar-24,"3,491.17"
2-Mar-24,"3,459.75"
1-Mar-24,"3,452.63"
29-Feb-24,"3,518.97"
28-Feb-24,"3,485.45"
27-Feb-24,"3,287.96"
26-Feb-24,"3,197.38"
25-Feb-24,"3,117.43"
24-Feb-24,"3,003.20"
23-Feb-24,"2,991.33"
22-Feb-24,"3,030.67"
21-Feb-24,"3,017.19"
20-Feb-24,"3,031.52"
19-Feb-24,"2,983.37"
18-Feb-24,"2,892.84"
17-Feb-24,"2,805.13"
16-Feb-24,"2,858.45"
15-Feb-24,"2,865.85"
14-Feb-24,"2,786.89"
13-Feb-24,"2,686.46"
12-Feb-24,"2,663.84"
11-Feb-24,"2,537.68"
10-Feb-24,"2,516.72"
9-Feb-24,"2,522.72"
8-Feb-24,"2,459.56"
7-Feb-24,"2,442.64"
6-Feb-24,"2,389.83"
5-Feb-24,"2,334.68"
4-Feb-24,"2,309.01"
3-Feb-24,"2,327.35"
2-Feb-24,"2,323.05"
1-Feb-24,"2,309.84"
31-Jan-24,"2,349.61"
30-Jan-24,"2,388.87"
29-Jan-24,"2,320.03"
28-Jan-24,"2,306.90"
27-Jan-24,"2,282.54"
26-Jan-24,"2,280.38"
25-Jan-24,"2,240.38"
24-Jan-24,"2,261.38"
23-Jan-24,"2,348.03"
22-Jan-24,"2,463.45"
21-Jan-24,"2,479.76"
